id,query,url1,url2,winner,comment
303,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/chaitanya-pedada-5896b1147,https://linkedin.com/in/pernekhan,,
952,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/neerajpanse,https://linkedin.com/in/keerthirajn,,
969,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/heath-attia,https://linkedin.com/in/linhao-jin-52825aa8,,
672,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/ethan-zhou-0499951,https://linkedin.com/in/sagarmanglani,,
152,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/ferasdev,https://linkedin.com/in/paul-shved,,
657,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/jack-brown-3plus1,https://linkedin.com/in/vinmarshall,,
283,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/robertrosenberg,https://linkedin.com/in/vinmarshall,,
571,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/dhabrams,https://linkedin.com/in/ykiranmurty,,
37,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",https://linkedin.com/in/negri,https://linkedin.com/in/davidnachum,,
954,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",https://linkedin.com/in/drtimlinnet,https://linkedin.com/in/marcsingerosage,,
864,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",https://linkedin.com/in/harryarcherman,https://linkedin.com/in/negri,,
17,Armenian tech guys how want to make charity. Only show people from the U.S.,https://linkedin.com/in/denys-kunyavski-05202019,https://linkedin.com/in/sarkisarutiunian,,
253,Armenian tech guys how want to make charity. Only show people from the U.S.,https://linkedin.com/in/alinepatatian,https://linkedin.com/in/brandon-cassidy-655b03178,,
374,Armenian tech guys how want to make charity. Only show people from the U.S.,https://linkedin.com/in/laras415,https://linkedin.com/in/patrickmalkassian,,
469,Armenian tech guys how want to make charity. Only show people from the U.S.,https://linkedin.com/in/leo-de-venezia-556921110,https://linkedin.com/in/annaloesch,,
610,Armenian tech guys how want to make charity. Only show people from the U.S.,https://linkedin.com/in/sarkisarutiunian,https://linkedin.com/in/shahan-derbedrosian-258371198,,
194,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",https://linkedin.com/in/austinkaylormiller,https://linkedin.com/in/dan-m-b435a617a,,
53,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",https://linkedin.com/in/george-black-612b5927b,https://linkedin.com/in/john-jack-armstrong-a2415a28,,
718,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,https://linkedin.com/in/dedius,https://linkedin.com/in/heshamsarwani,,
115,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,https://linkedin.com/in/krantiparisa,https://linkedin.com/in/langly,,
940,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,https://linkedin.com/in/dyovanno,https://linkedin.com/in/billstephenson,,
127,COOs from small consumer hardware companies in California,https://linkedin.com/in/torencelu,https://linkedin.com/in/soummya-d-a846671,,
854,COOs from small consumer hardware companies in California,https://linkedin.com/in/aubreythelen,https://linkedin.com/in/davidgilles,,
255,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,https://linkedin.com/in/scott-merritt-07aa5522b,https://linkedin.com/in/siddarth-chandrasekaran-86504a20,,
688,"Current position should be customer success specialist, not director or VP of customer success, with prior experience in CPAAS. Only show people from the U.S.",https://linkedin.com/in/harikavadapalli,https://linkedin.com/in/jandi-pope-b5028213b,,
616,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",https://linkedin.com/in/jessica-warner1,https://linkedin.com/in/kwanbenjamin,,
908,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",https://linkedin.com/in/blakecain,https://linkedin.com/in/madelineboon,,
151,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",https://linkedin.com/in/janki-chaudhari,https://linkedin.com/in/theadambishop,,
