id,query,rank,source1,docid1,source2,docid2,url1,url2,winner,comment
788,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",2.0,Exa.AI,mkrugman,PeopleGPT,aydins,https://linkedin.com/in/mkrugman,https://linkedin.com/in/aydins,,
803,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",0.0,Pearch.AI,kj-peterson,PeopleGPT,saranshjain1,https://linkedin.com/in/kj-peterson,https://linkedin.com/in/saranshjain1,,
224,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",8.0,LinkedIn,shiddharthsaran,Exa.AI,jconsidi,https://linkedin.com/in/shiddharthsaran,https://linkedin.com/in/jconsidi,,
608,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",0.0,LinkedIn,kurtispsmith,Exa.AI,biziosan,https://linkedin.com/in/kurtispsmith,https://linkedin.com/in/biziosan,,
806,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",2.0,LinkedIn,chris-wildgoose-019556,Exa.AI,mkrugman,https://linkedin.com/in/chris-wildgoose-019556,https://linkedin.com/in/mkrugman,,
609,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",4.0,LinkedIn,arielberkowicz,Pearch.AI,hari-banoth-88a719186,https://linkedin.com/in/arielberkowicz,https://linkedin.com/in/hari-banoth-88a719186,,
146,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",6.0,PeopleGPT,erictoddlarosa,Pearch.AI,jhafiz,https://linkedin.com/in/erictoddlarosa,https://linkedin.com/in/jhafiz,,
415,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,2.0,Exa.AI,jaeyongsung,PeopleGPT,sudhirvijay,https://linkedin.com/in/jaeyongsung,https://linkedin.com/in/sudhirvijay,,
441,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,6.0,PeopleGPT,hanifigunes,LinkedIn,virat-rahul-4a981b2a2,https://linkedin.com/in/hanifigunes,https://linkedin.com/in/virat-rahul-4a981b2a2,,
619,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,7.0,Exa.AI,jlo1,LinkedIn,carl-thronson,https://linkedin.com/in/jlo1,https://linkedin.com/in/carl-thronson,,
770,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",5.0,Pearch.AI,sergiogurrieri,LinkedIn,yasibaiani,https://linkedin.com/in/sergiogurrieri,https://linkedin.com/in/yasibaiani,,
691,Armenian tech guys how want to make charity. Only show people from the U.S.,8.0,PeopleGPT,josephtkelly,Exa.AI,natalie-kantarjian-4b850862,https://linkedin.com/in/josephtkelly,https://linkedin.com/in/natalie-kantarjian-4b850862,,
219,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",8.0,Pearch.AI,bojingirenefu,PeopleGPT,danyolton,https://linkedin.com/in/bojingirenefu,https://linkedin.com/in/danyolton,,
