id,query,rank,source1,docid1,source2,docid2,url1,url2,winner,comment
227,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,0.0,PeopleGPT,pernekhan,LinkedIn,chen-wei-christopher-hong-4b189162,https://linkedin.com/in/pernekhan,https://linkedin.com/in/chen-wei-christopher-hong-4b189162,,
587,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,9.0,LinkedIn,json-mern-jee,Exa.AI,michael-ngo-eng,https://linkedin.com/in/json-mern-jee,https://linkedin.com/in/michael-ngo-eng,,
192,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,3.0,Pearch.AI,sean-schaffer,PeopleGPT,hamishtushar,https://linkedin.com/in/sean-schaffer,https://linkedin.com/in/hamishtushar,,
249,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,1.0,PeopleGPT,nghia-ho-6259866,Pearch.AI,vijayaganeshmohan,https://linkedin.com/in/nghia-ho-6259866,https://linkedin.com/in/vijayaganeshmohan,,
350,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,9.0,LinkedIn,bidishasen13,Pearch.AI,ramynoaman,https://linkedin.com/in/bidishasen13,https://linkedin.com/in/ramynoaman,,
896,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,5.0,LinkedIn,anthony-elkommos,PeopleGPT,singularitysi7,https://linkedin.com/in/anthony-elkommos,https://linkedin.com/in/singularitysi7,,
664,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",3.0,PeopleGPT,dominguezguillermo,LinkedIn,raymondpeck,https://linkedin.com/in/dominguezguillermo,https://linkedin.com/in/raymondpeck,,
631,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",2.0,LinkedIn,da-xue-algorithm,Pearch.AI,deeptechvc,https://linkedin.com/in/da-xue-algorithm,https://linkedin.com/in/deeptechvc,,
359,Amazon PPC Specialist in e-commerce sector in Boston,5.0,Pearch.AI,mike-white17,LinkedIn,danielle-roller-mba-14306532,https://linkedin.com/in/mike-white17,https://linkedin.com/in/danielle-roller-mba-14306532,,
946,Amazon PPC Specialist in e-commerce sector in Boston,6.0,Exa.AI,meggleason,Pearch.AI,daleyj,https://linkedin.com/in/meggleason,https://linkedin.com/in/daleyj,,
557,Amazon PPC Specialist in e-commerce sector in Boston,0.0,Pearch.AI,dunnwilliam1,Exa.AI,ryantwalker,https://linkedin.com/in/dunnwilliam1,https://linkedin.com/in/ryantwalker,,
536,Armenian tech guys how want to make charity. Only show people from the U.S.,0.0,Exa.AI,ayekikian,LinkedIn,joseph-defranc,https://linkedin.com/in/ayekikian,https://linkedin.com/in/joseph-defranc,,
464,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",0.0,Exa.AI,john-zinger-493139219,LinkedIn,alexkjames,https://linkedin.com/in/john-zinger-493139219,https://linkedin.com/in/alexkjames,,
836,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",4.0,Exa.AI,bobbyloftus,LinkedIn,uchechukwu-ajuzieogu,https://linkedin.com/in/bobbyloftus,https://linkedin.com/in/uchechukwu-ajuzieogu,,
118,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",6.0,Exa.AI,rodolfo-brito-728a9a176,LinkedIn,michaelanorman,https://linkedin.com/in/rodolfo-brito-728a9a176,https://linkedin.com/in/michaelanorman,,
907,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,3.0,PeopleGPT,saileshkrishnamurthy,Exa.AI,ron-hashem,https://linkedin.com/in/saileshkrishnamurthy,https://linkedin.com/in/ron-hashem,,
544,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,0.0,PeopleGPT,antonhanebrink,Exa.AI,jensoncrawford,https://linkedin.com/in/antonhanebrink,https://linkedin.com/in/jensoncrawford,,
380,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,9.0,Exa.AI,juliakorneva,PeopleGPT,dmitryreznik,https://linkedin.com/in/juliakorneva,https://linkedin.com/in/dmitryreznik,,
868,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,9.0,LinkedIn,michaeljpanco,Exa.AI,juliakorneva,https://linkedin.com/in/michaeljpanco,https://linkedin.com/in/juliakorneva,,
991,COOs from small consumer hardware companies in California,5.0,Exa.AI,gerardo-medina-142a21aa,LinkedIn,michael-sobolewski,https://linkedin.com/in/gerardo-medina-142a21aa,https://linkedin.com/in/michael-sobolewski,,
344,COOs from small consumer hardware companies in California,6.0,Exa.AI,ed-white6,LinkedIn,lyes-bouhazem-145765146,https://linkedin.com/in/ed-white6,https://linkedin.com/in/lyes-bouhazem-145765146,,
29,COOs from small consumer hardware companies in California,8.0,PeopleGPT,jeffrey-chiappone,Pearch.AI,kevin-brown-086b089,https://linkedin.com/in/jeffrey-chiappone,https://linkedin.com/in/kevin-brown-086b089,,
81,COOs from small consumer hardware companies in California,4.0,PeopleGPT,brandonconnors,Exa.AI,kellan-o-connor-1203203,https://linkedin.com/in/brandonconnors,https://linkedin.com/in/kellan-o-connor-1203203,,
362,"Current position should be customer success specialist, not director or VP of customer success, with prior experience in CPAAS. Only show people from the U.S.",4.0,Pearch.AI,joshua-garrett-74542110a,Exa.AI,lauren-bryant-8861b7114,https://linkedin.com/in/joshua-garrett-74542110a,https://linkedin.com/in/lauren-bryant-8861b7114,,
490,"Current position should be customer success specialist, not director or VP of customer success, with prior experience in CPAAS. Only show people from the U.S.",0.0,Exa.AI,andrew-holtz-807399245,Pearch.AI,johnhartmann,https://linkedin.com/in/andrew-holtz-807399245,https://linkedin.com/in/johnhartmann,,
239,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",3.0,LinkedIn,michaeljrcuriel,Pearch.AI,brigid-mulroy,https://linkedin.com/in/michaeljrcuriel,https://linkedin.com/in/brigid-mulroy,,
904,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",3.0,PeopleGPT,00markhughes00,Exa.AI,gracezlu,https://linkedin.com/in/00markhughes00,https://linkedin.com/in/gracezlu,,
84,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",6.0,Pearch.AI,johnbakaldin,Exa.AI,sean-hauser-107ab1a4,https://linkedin.com/in/johnbakaldin,https://linkedin.com/in/sean-hauser-107ab1a4,,
266,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",1.0,LinkedIn,brandon-mcalister-01,Exa.AI,brendan-ter-wee,https://linkedin.com/in/brandon-mcalister-01,https://linkedin.com/in/brendan-ter-wee,,
783,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",5.0,Pearch.AI,kate-scott-52035116a,PeopleGPT,kevinkevinho,https://linkedin.com/in/kate-scott-52035116a,https://linkedin.com/in/kevinkevinho,,
7,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,3.0,PeopleGPT,philipychan,Exa.AI,jeremy-kusner,https://linkedin.com/in/philipychan,https://linkedin.com/in/jeremy-kusner,,
306,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,3.0,Exa.AI,jeremy-kusner,LinkedIn,daniel-johnson-8689732bb,https://linkedin.com/in/jeremy-kusner,https://linkedin.com/in/daniel-johnson-8689732bb,,
799,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,4.0,LinkedIn,shahbaz-ali7,Exa.AI,lucianogiannini,https://linkedin.com/in/shahbaz-ali7,https://linkedin.com/in/lucianogiannini,,
916,"I am looking for a former FAANG recruiter, tech-savvy, willing to build a product that will fix hiring for product teams. Only show people from the U.S.",5.0,Exa.AI,stephanie-h-nguyen,PeopleGPT,adrianaaranda,https://linkedin.com/in/stephanie-h-nguyen,https://linkedin.com/in/adrianaaranda,,
211,"I am looking for a former FAANG recruiter, tech-savvy, willing to build a product that will fix hiring for product teams. Only show people from the U.S.",0.0,LinkedIn,clint-maguire-1412b,Exa.AI,byron-ceasar,https://linkedin.com/in/clint-maguire-1412b,https://linkedin.com/in/byron-ceasar,,
596,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",0.0,Pearch.AI,amit-dugar-43b51949,PeopleGPT,shivaprasadnc,https://linkedin.com/in/amit-dugar-43b51949,https://linkedin.com/in/shivaprasadnc,,
